user_id,product_type_id,isbn13,name,author,author_details,book_edition,cat_id,price,discount,delivery_charge,quantity,no_of_pages,weight,book_language,image,publisher,publishing_year,publishing_role_id,currency_code,country_code,description,book_binding,status,slug,created_at
15,1,9780198754831,"Introduction To Genomics, 3E",Lesk,N/A,20-03-17,113,4832,20,,10,544,1kg 120g,English,9780198754831.jpg,OUP Oxford ,20-03-17,2012,INR,IND,,Paperback,1,introduction-to-genomics-3e,2021-12-19 17:15:10
15,1,9780198757948,The Role Of Arbitration In Shipping Law,Edited By Miriam Goldby,N/A,16-06-16,93,16866,20,,10,336,740g,English,9780198757948.jpg,OUP Oxford ,16-06-16,2012,INR,IND,,Hardcover,1,the-role-of-arbitration-in-shipping-law,2021-12-19 17:15:10
15,1,9780198758112,Post-Traumatic Stress 2E P,"Regel, Stephen; Joseph, Stephen",N/A,28-02-17,114,1509,25,,10,208,224g,English,9780198758112.jpg,OUP Oxford ,28-02-17,2012,INR,IND,,Paperback,1,post-traumatic-stress-2e-p,2021-12-19 17:15:10
15,1,9780198759461,Conscience And Conviction,Brownlee,N/A,15-10-15,93,2768,20,,10,278,358g,English,9780198759461.jpg,OUP Oxford ,15-10-15,2012,INR,IND,,Paperback,1,conscience-and-conviction,2021-12-19 17:15:10
15,1,9780198763444,Comparing Constitutions  P,Bogdanor,N/A,25-05-95,93,6342,20,,10,,804g,English,9780198763444.jpg,,25-05-95,2012,INR,IND,,Paperback,1,comparing-constitutions-p,2021-12-19 17:15:10
15,1,9780198763901,Document On The Law Of War,Roberts  Dam,N/A,01-05-00,93,6342,20,,10,784,1kg 540g,English,9780198763901.jpg,OUP Oxford ,01-05-00,2012,INR,IND,,Paperback,1,document-on-the-law-of-war,2021-12-19 17:15:10
15,1,9780198765882,Human Rights Law Directions 4E,"Davis, Howard",N/A,04-08-16,93,4027,20,,10,584,1kg 200g,English,9780198765882.jpg,OUP Oxford ,04-08-16,2012,INR,IND,,Paperback,1,human-rights-law-directions-4e,2021-12-19 17:15:10
15,1,9780198766063,The War Report,"Bellal, Annyssa",N/A,10-12-15,94,15859,20,,10,816,717g,English,9780198766063.jpg,OUP Oxford ,10-12-15,2012,INR,IND,,Hardcover,1,the-war-report,2021-12-19 17:15:10
15,1,9780198769804,Physics & Technology Of Sustainable Energy Ogt Cloth,Wolf,N/A,17-07-18,93,5840,20,,10,428,964g,English,9780198769804.jpg,OUP Oxford ,17-07-18,2012,INR,IND,,Hardcover,1,physics-technology-of-sustainable-energy-ogt-cloth,2021-12-19 17:15:10
15,1,9780198769958,Intellectual Property Law 5E P,"Bently, Lionel",N/A,04-09-18,93,4631,20,,10,1520,2kg 100g,English,9780198769958.jpg,OUP Oxford ,04-09-18,2012,INR,IND,,Paperback,1,intellectual-property-law-5e-p,2021-12-19 17:15:10
15,1,9780198777205,"Paper Tigers, Hidden Dragons C",Douglas B. Fuller,N/A,26-05-16,93,7652,25,0,10,298,580g,English,9780198777205.jpg,OUP Oxford ,26-05-16,2012,INR,IND,,Hardcover,1,paper-tigers-hidden-dragons-c,2021-12-19 17:15:10
15,1,9780198777625,"Systemic Risk, Institutional Design, & The Regulation Of Financial Markets Cloth",Anand,N/A,01-12-16,93,6545,20,,10,256,542g,English,9780198777625.jpg,OUP Oxford ,01-12-16,2012,INR,IND,,Hardcover,1,systemic-risk-institutional-design-the-regulation-of-financial-markets-cloth,2021-12-19 17:15:10
15,1,9780198777663,Principles Of Criminal Law 9E P,Horder,N/A,07-05-19,93,3523,20,,10,584,1kg 20g,English,9780198777663.jpg,OUP Oxford ,07-05-19,2012,INR,IND,,Paperback,1,principles-of-criminal-law-9e-p,2021-12-19 17:15:10
